MEMBERSHIP_NUMBER,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,MEMBERSHIP_STATUS
A02970,24,150000,M,M,,6,TYPE-B,71,2,ANNUAL,197666,INFORCE
A02971,12,100001,S,M,399996,1,TYPE-B,22,0,ANNUAL,836388,CANCELLED
A02972,43,100000,M,F,200004,1,TYPE-B,52,1,QUARTERLY,608188,INFORCE
A02973,51,250000,S,M,800004,1,TYPE-B,43,0,ANNUAL,877388,CANCELLED
A02974,26,100000,M,F,600000,1,TYPE-B,68,3,SEMI-ANNUAL,693255,INFORCE
A02975,55,100000,M,M,999996,1,TYPE-B,40,3,ANNUAL,714933,CANCELLED
A02976,27,100000,,,,6,TYPE-B,75,0,SEMI-ANNUAL,309877,CANCELLED
A02977,54,100000,M,M,500004,1,TYPE-B,41,2,ANNUAL,541988,INFORCE
A02978,30,210000,M,M,,6,TYPE-B,64,2,MONTHLY,183611,INFORCE
A02979,53,125000,M,M,448056,1,TYPE-B,42,1,SEMI-ANNUAL,834266,INFORCE
A02980,55,125000,M,M,378804,1,TYPE-B,40,1,SEMI-ANNUAL,834266,INFORCE
A02981,27,100000,M,M,350004,5,TYPE-B,41,1,ANNUAL,632811,INFORCE
A02982,27,100000,,,,1,TYPE-B,72,2,ANNUAL,20188,CANCELLED
A02983,40,100000,M,F,500004,1,TYPE-B,54,1,ANNUAL,632811,INFORCE
A02984,22,100000,S,M,399996,1,TYPE-B,23,0,ANNUAL,418122,CANCELLED
A02985,27,100000,,,,1,TYPE-B,69,1,ANNUAL,828633,INFORCE
A02986,27,100000,,,,1,TYPE-B,60,0,ANNUAL,861633,CANCELLED
A02987,27,100000,M,M,279996,1,TYPE-B,40,2,ANNUAL,873622,INFORCE
A02988,12,100000,W,F,,4,TYPE-B,50,0,ANNUAL,872388,INFORCE
A02989,61,100000,M,M,999996,1,TYPE-B,34,1,ANNUAL,879788,CANCELLED
A02990,37,125000,M,M,300000,1,TYPE-B,57,1,ANNUAL,772044,CANCELLED
A02991,41,100000,M,F,399996,1,TYPE-B,54,1,SEMI-ANNUAL,686988,INFORCE
A02992,36,100000,M,M,999996,1,TYPE-B,59,2,ANNUAL,739122,CANCELLED
A02993,32,100000,M,M,999996,1,TYPE-B,63,3,ANNUAL,739122,CANCELLED
A02994,22,113240,M,M,999996,1,TYPE-B,37,1,ANNUAL,764077,INFORCE
A02995,27,100000,S,M,450000,1,TYPE-B,33,0,ANNUAL,483677,INFORCE
A02996,46,100000,M,M,500004,1,TYPE-B,49,1,ANNUAL,857155,INFORCE
A02997,46,100000,M,F,500004,1,TYPE-B,48,2,ANNUAL,857155,INFORCE
A02998,27,110000,M,M,660000,1,TYPE-B,38,1,ANNUAL,245599,CANCELLED
A02999,27,100000,,,,1,TYPE-B,54,0,ANNUAL,828633,INFORCE
A03000,27,750000,M,M,750000,1,TYPE-B,36,2,ANNUAL,599099,CANCELLED
A03001,27,100000,,,,1,TYPE-B,25,1,ANNUAL,851644,INFORCE
A03002,30,125000,M,M,2000004,1,TYPE-B,65,2,ANNUAL,880422,INFORCE
A03003,22,100000,M,F,249996,1,TYPE-B,40,3,ANNUAL,808500,INFORCE
A03004,27,100000,,,,1,TYPE-B,63,0,ANNUAL,538211,INFORCE
A03005,27,100000,,,,1,TYPE-B,63,0,ANNUAL,736922,INFORCE
A03006,53,500000,M,M,2499996,1,TYPE-B,42,1,ANNUAL,353266,INFORCE
A03007,12,100000.8,S,M,300000,1,TYPE-B,28,0,MONTHLY,788755,CANCELLED
A03008,27,100000,M,M,999996,1,TYPE-B,36,3,ANNUAL,865022,INFORCE
A03009,27,100000,S,M,600000,1,TYPE-B,29,0,ANNUAL,865022,INFORCE
A03010,27,100000,S,M,300000,1,TYPE-B,20,0,ANNUAL,857155,CANCELLED
A03011,27,100000,M,M,549996,1,TYPE-B,53,3,ANNUAL,865677,INFORCE
A03012,27,100000,M,M,900000,1,TYPE-B,41,2,ANNUAL,865022,INFORCE
A03013,55,100000,M,F,600000,1,TYPE-B,40,3,ANNUAL,758277,CANCELLED
A03014,50,102100,M,M,1500000,1,TYPE-B,45,2,ANNUAL,758277,CANCELLED
A03015,41,100000,M,M,5000004,1,TYPE-B,54,2,SEMI-ANNUAL,753044,INFORCE
A03016,28,500000,M,M,999996,1,TYPE-B,67,1,ANNUAL,789277,INFORCE
A03017,65,100000,M,M,450000,1,TYPE-B,28,1,ANNUAL,189822,INFORCE
A03018,22,100000,M,F,999996,1,TYPE-B,45,3,ANNUAL,256844,INFORCE
A03019,27,100000,M,M,,6,TYPE-B,68,1,SEMI-ANNUAL,233977,INFORCE
A03020,22,100000,M,M,1200000,1,TYPE-B,42,1,ANNUAL,865011,INFORCE
A03021,43,150000,S,M,8499996,1,TYPE-B,52,0,ANNUAL,767622,INFORCE
A03022,12,100000,M,F,399996,1,TYPE-B,46,3,ANNUAL,746500,CANCELLED
A03023,45,100000,M,F,6000000,1,TYPE-B,50,1,QUARTERLY,739255,INFORCE
A03024,74,100000,S,F,,6,TYPE-B,19,0,ANNUAL,343344,INFORCE
A03025,32,100000,M,M,,6,TYPE-B,63,1,ANNUAL,270777,INFORCE
A03026,27,100000,M,M,500004,1,TYPE-B,33,3,ANNUAL,245599,CANCELLED
A03027,37,1000000,M,M,9999996,1,TYPE-B,58,2,ANNUAL,285911,INFORCE
A03028,45,100000,M,M,1200000,1,TYPE-B,50,3,ANNUAL,343411,INFORCE
A03029,27,100000,M,M,300000,1,TYPE-B,47,3,ANNUAL,191244,INFORCE
A03030,59,300000,S,M,999996,1,TYPE-B,35,0,ANNUAL,846600,CANCELLED
A03031,50,100000,M,M,500004,1,TYPE-B,45,1,ANNUAL,711855,INFORCE
A03032,32,199999,M,M,500004,1,TYPE-B,63,1,ANNUAL,823666,INFORCE
A03033,27,100000,S,M,450000,1,TYPE-B,23,0,ANNUAL,812800,CANCELLED
A03034,12,100000,,,,1,TYPE-B,43,0,ANNUAL,502211,CANCELLED
A03035,37,100000,M,F,200004,1,TYPE-B,58,2,ANNUAL,364999,INFORCE
A03036,30,100000,M,F,300000,1,TYPE-B,65,3,ANNUAL,448099,INFORCE
A03037,58,200000,M,M,600000,1,TYPE-B,37,2,ANNUAL,874499,CANCELLED
A03038,27,100000,,,,1,TYPE-B,36,1,ANNUAL,771755,INFORCE
A03039,55,200000,M,M,1800000,1,TYPE-B,40,1,ANNUAL,865022,INFORCE
A03040,27,100000,,,,1,TYPE-B,63,1,ANNUAL,632811,INFORCE
A03041,12,100000,M,M,999996,5,TYPE-B,50,1,ANNUAL,48655,INFORCE
A03042,22,250002,,,,1,TYPE-B,65,1,MONTHLY,744177,INFORCE
A03043,27,100000,M,M,999996,1,TYPE-B,48,1,ANNUAL,617055,INFORCE
A03044,66,120000,S,M,,6,TYPE-B,27,0,SEMI-ANNUAL,881899,INFORCE
A03045,48,400000,M,M,500004,1,TYPE-B,47,3,ANNUAL,483677,INFORCE
A03046,17,100000.8,M,F,399996,1,TYPE-B,54,2,MONTHLY,629933,INFORCE
A03047,27,100000,M,M,999996,1,TYPE-B,43,2,ANNUAL,746166,CANCELLED
A03048,27,100000,M,F,399996,1,TYPE-B,29,2,ANNUAL,746166,INFORCE
A03049,61,100000,,,,1,TYPE-B,61,1,ANNUAL,860555,INFORCE
A03050,34,100000,M,M,999996,1,TYPE-B,61,3,ANNUAL,739255,CANCELLED
A03051,41,135726,M,M,699996,1,TYPE-B,54,2,ANNUAL,739300,INFORCE
A03052,22,100000,M,M,475932,1,TYPE-B,42,2,SEMI-ANNUAL,831566,CANCELLED
A03053,27,100000,M,M,350004,1,TYPE-B,50,3,ANNUAL,792577,CANCELLED
A03054,12,150000,M,M,600000,5,TYPE-B,37,3,ANNUAL,249355,INFORCE
A03055,22,100000,M,M,500004,1,TYPE-B,49,1,ANNUAL,383744,INFORCE
A03056,33,100000,,,,1,TYPE-B,60,1,SEMI-ANNUAL,439133,INFORCE
A03057,39,100000,M,F,,4,TYPE-B,55,2,QUARTERLY,233977,CANCELLED
A03058,38,100000,M,M,324996,1,TYPE-B,57,1,QUARTERLY,233977,CANCELLED
A03059,57,100000,M,F,300000,1,TYPE-B,38,2,ANNUAL,869466,INFORCE
A03060,27,100000,S,M,399996,1,TYPE-B,26,0,QUARTERLY,873622,CANCELLED
A03061,29,100000,M,M,500004,1,TYPE-B,66,1,ANNUAL,869466,INFORCE
A03062,32,100000,M,F,399996,1,TYPE-B,63,2,ANNUAL,869466,INFORCE
A03063,23,100000,M,M,300000,1,TYPE-B,72,3,ANNUAL,337400,INFORCE
A03064,29,100000,M,M,,6,TYPE-B,66,3,QUARTERLY,343466,INFORCE
A03065,63,100005.72,,,,6,TYPE-B,62,0,MONTHLY,439155,INFORCE
A03066,36,100000,M,F,,4,TYPE-B,59,1,ANNUAL,881899,INFORCE
A03067,31,310957.76,M,M,999996,1,TYPE-A,48,2,ANNUAL,190233,CANCELLED
A03068,27,100000,M,F,,6,TYPE-B,68,1,ANNUAL,830177,INFORCE
A03069,22,100000,M,M,300000,1,TYPE-B,36,2,ANNUAL,347388,CANCELLED
A03070,27,100000.8,S,M,420000,1,TYPE-B,28,0,MONTHLY,828633,INFORCE
A03071,40,200000,M,M,999996,1,TYPE-B,55,2,ANNUAL,869033,INFORCE
A03072,19,100000,M,M,,6,TYPE-B,76,1,ANNUAL,830177,INFORCE
A03073,27,100000,S,M,30000000,1,TYPE-B,24,0,ANNUAL,873622,CANCELLED
A03074,40,500000,W,M,600000,1,TYPE-B,55,0,ANNUAL,256488,CANCELLED
A03075,12,100000,,,,1,TYPE-B,8,3,ANNUAL,629933,INFORCE
A03076,12,100000,,,,1,TYPE-B,68,1,ANNUAL,657733,CANCELLED
A03077,27,100000,M,M,549996,1,TYPE-B,51,3,ANNUAL,810444,CANCELLED
A03078,58,120000,D,F,399996,1,TYPE-B,37,0,MONTHLY,343466,INFORCE
A03079,17,500000,S,F,1320000,1,TYPE-B,78,0,ANNUAL,256488,CANCELLED
A03080,9,100000,M,M,350004,1,TYPE-B,50,2,ANNUAL,739211,INFORCE
A03081,17,2500000,M,F,1500000,1,TYPE-B,78,3,ANNUAL,879599,CANCELLED
A03082,30,100000,M,M,450000,1,TYPE-B,65,1,ANNUAL,248466,INFORCE
A03083,27,100000,,,,1,TYPE-B,82,0,ANNUAL,20188,CANCELLED
A03084,57,100000,M,M,800004,1,TYPE-B,38,1,ANNUAL,616033,CANCELLED
A03085,57,100000,M,F,200004,1,TYPE-B,38,1,ANNUAL,432077,INFORCE
A03086,27,100000,W,F,399996,1,TYPE-B,48,0,ANNUAL,828633,INFORCE
A03087,62,100000,M,F,,4,TYPE-B,33,2,ANNUAL,671988,CANCELLED
A03088,19,100000,M,M,300000,1,TYPE-B,76,1,QUARTERLY,347966,CANCELLED
A03089,27,100000,M,F,450000,1,TYPE-B,33,1,ANNUAL,746166,CANCELLED
A03090,27,110000,M,M,399996,1,TYPE-B,30,2,ANNUAL,602533,CANCELLED
A03091,12,100000,M,F,219996,1,TYPE-B,47,3,ANNUAL,437477,INFORCE
A03092,12,200000,M,F,800004,5,TYPE-B,49,3,ANNUAL,768155,INFORCE
A03093,34,200000,M,F,525000,1,TYPE-B,61,3,ANNUAL,874499,CANCELLED
A03094,29,201000,M,M,750000,1,TYPE-B,66,3,ANNUAL,874499,CANCELLED
A03095,32,100000,M,M,,6,TYPE-B,62,2,ANNUAL,708822,CANCELLED
A03096,37,100000,M,M,600000,1,TYPE-B,58,1,ANNUAL,744800,INFORCE
A03097,27,100000,M,F,500004,1,TYPE-B,55,2,ANNUAL,880899,INFORCE
A03098,49,100000,M,M,249996,1,TYPE-B,46,1,SEMI-ANNUAL,293011,INFORCE
A03099,30,100000,M,F,,6,TYPE-B,64,3,ANNUAL,796711,CANCELLED
A03100,82,100000,,,,1,TYPE-B,69,0,SEMI-ANNUAL,830211,INFORCE
A03101,27,100000,S,M,2000004,5,TYPE-B,19,0,ANNUAL,858055,INFORCE
A03102,53,120006.96,M,M,249996,1,TYPE-B,37,2,MONTHLY,453433,INFORCE
A03103,27,100000,S,F,200004,5,TYPE-B,21,0,ANNUAL,858055,INFORCE
A03104,17,150001.2,M,M,600000,1,TYPE-B,33,3,MONTHLY,249699,INFORCE
A03105,12,100000,,,,1,TYPE-B,38,0,ANNUAL,502211,CANCELLED
A03106,12,100000,M,M,399996,1,TYPE-B,29,2,ANNUAL,437477,CANCELLED
A03107,27,100000,M,M,349992,5,TYPE-B,36,3,ANNUAL,756688,INFORCE
A03108,29,200000,M,M,249996,1,TYPE-B,66,3,SEMI-ANNUAL,309877,INFORCE
A03109,27,100000,M,F,349992,1,TYPE-B,35,2,ANNUAL,756688,INFORCE
A03110,48,100000,M,M,399996,1,TYPE-B,47,3,ANNUAL,790888,CANCELLED
A03111,12,100000,M,M,999996,1,TYPE-B,63,2,ANNUAL,122344,INFORCE
A03112,41,250000,M,M,999996,1,TYPE-B,54,2,ANNUAL,739300,INFORCE
A03113,31,120000.96,W,F,300000,1,TYPE-B,59,0,MONTHLY,183611,CANCELLED
A03114,32,100000,W,F,200004,1,TYPE-B,63,0,ANNUAL,632811,INFORCE
A03115,63,300000,M,M,399996,1,TYPE-B,30,2,QUARTERLY,739133,INFORCE
A03117,44,108000.84,,,,1,TYPE-B,50,3,MONTHLY,251511,CANCELLED
A03118,22,100000,M,M,350004,1,TYPE-B,26,3,SEMI-ANNUAL,629933,CANCELLED
A03119,35,150000,M,F,399996,1,TYPE-B,60,1,ANNUAL,504511,INFORCE
A03120,29,112500,M,M,,6,TYPE-B,66,2,ANNUAL,100733,INFORCE
A03121,27,100000,M,M,450000,1,TYPE-B,36,2,ANNUAL,460122,CANCELLED
A03122,12,100000,M,F,156636,1,TYPE-B,54,1,SEMI-ANNUAL,662199,INFORCE
A03123,43,200000,M,M,180000,1,TYPE-B,52,2,ANNUAL,458655,INFORCE
A03124,17,100000,M,M,1800000,1,TYPE-B,78,3,ANNUAL,343411,INFORCE
A03125,28,100000,M,M,,6,TYPE-B,67,2,ANNUAL,808111,CANCELLED
A03126,27,500000,,,,1,TYPE-B,52,1,ANNUAL,33666,INFORCE
A03127,27,199000,M,M,1500000,1,TYPE-B,51,1,ANNUAL,33666,CANCELLED
A03128,54,200010,M,F,,4,TYPE-B,36,1,ANNUAL,859966,INFORCE
A03129,45,100000,M,M,200004,1,TYPE-B,50,1,QUARTERLY,348077,INFORCE
A03130,17,100000,M,M,600000,1,TYPE-B,38,1,ANNUAL,579900,CANCELLED
A03131,27,100000,S,M,249996,1,TYPE-B,28,0,SEMI-ANNUAL,873622,INFORCE
A03132,25,100000,M,M,,6,TYPE-B,70,1,SEMI-ANNUAL,309877,INFORCE
A03133,47,100000,M,M,350004,1,TYPE-B,48,1,SEMI-ANNUAL,293011,CANCELLED
A03134,22,100000,M,F,290004,1,TYPE-B,35,3,ANNUAL,814311,INFORCE
A03135,22,180001.44,S,M,500004,1,TYPE-B,28,0,MONTHLY,439133,INFORCE
A03136,12,100000,M,M,249996,5,TYPE-B,46,3,QUARTERLY,816555,CANCELLED
A03137,27,100000,M,M,350004,1,TYPE-B,53,2,ANNUAL,19733,INFORCE
A03138,12,115000,S,M,125004,5,TYPE-B,26,0,ANNUAL,411122,CANCELLED
A03139,59,300100,M,M,950004,1,TYPE-B,36,1,ANNUAL,819677,CANCELLED
A03140,12,500000,M,F,999996,1,TYPE-B,49,1,ANNUAL,872077,CANCELLED
A03141,46,100000,M,M,699996,1,TYPE-B,49,3,ANNUAL,565711,INFORCE
A03142,43,100000,W,F,350004,1,TYPE-B,51,0,ANNUAL,632811,INFORCE
A03143,39,100000,M,M,300000,1,TYPE-B,55,1,ANNUAL,861711,CANCELLED
A03144,63,100005,,,,6,TYPE-B,57,0,SEMI-ANNUAL,439155,CANCELLED
A03145,52,100000,W,F,249996,1,TYPE-B,43,0,ANNUAL,810444,CANCELLED
A03146,42,240141.72,M,M,5000004,1,TYPE-B,48,3,MONTHLY,865011,INFORCE
A03147,27,100000,M,M,600000,1,TYPE-B,36,2,ANNUAL,873622,INFORCE
A03148,27,100000,M,M,399996,1,TYPE-B,29,1,ANNUAL,288322,CANCELLED
A03149,22,100000,M,F,300000,1,TYPE-B,24,1,ANNUAL,288322,CANCELLED
A03150,61,100000,M,F,350004,1,TYPE-B,34,2,QUARTERLY,605866,CANCELLED
A03151,27,100000,M,F,399996,1,TYPE-B,34,3,ANNUAL,200533,CANCELLED
A03152,12,100000,M,M,800004,1,TYPE-B,33,1,ANNUAL,200533,INFORCE
A03153,12,100000,M,F,219996,1,TYPE-B,30,2,ANNUAL,746500,CANCELLED
A03154,31,100000,M,M,999996,1,TYPE-B,64,3,ANNUAL,41899,INFORCE
A03155,39,800000,M,M,69999996,1,TYPE-B,56,3,ANNUAL,739255,INFORCE
A03156,19,100000,M,M,500004,1,TYPE-B,75,1,SEMI-ANNUAL,309877,INFORCE
A03157,27,100000,,,,1,TYPE-B,39,1,SEMI-ANNUAL,543600,CANCELLED
A03158,17,100000,M,F,383532,1,TYPE-B,38,3,ANNUAL,432077,INFORCE
A03159,12,100000,,,,1,TYPE-B,60,0,ANNUAL,674211,INFORCE
A03160,35,100000,M,M,,6,TYPE-B,60,1,ANNUAL,20400,INFORCE
A03161,27,100000,M,M,399996,1,TYPE-B,30,1,ANNUAL,873622,INFORCE
A03162,54,120006,M,M,729996,1,TYPE-B,36,3,SEMI-ANNUAL,693255,CANCELLED
A03163,38,150000,M,M,650004,1,TYPE-B,56,1,MONTHLY,699500,INFORCE
A03164,46,200000,M,M,99996,1,TYPE-B,49,2,ANNUAL,739300,INFORCE
A03165,55,100000,M,M,399996,1,TYPE-B,40,2,QUARTERLY,279244,INFORCE
A03166,27,150000,S,M,300000,1,TYPE-B,68,0,SEMI-ANNUAL,830200,INFORCE
A03167,27,140000,M,M,374004,5,TYPE-B,35,1,QUARTERLY,605866,INFORCE
A03168,22,100000,M,M,300000,1,TYPE-B,33,1,ANNUAL,498811,INFORCE
A03169,27,120000.96,,,,1,TYPE-B,53,0,MONTHLY,494122,CANCELLED
A03170,17,102400,M,M,450000,5,TYPE-B,55,1,ANNUAL,444333,INFORCE
A03171,33,200000,M,M,999996,1,TYPE-B,62,3,ANNUAL,887044,INFORCE
A03172,27,100000,M,M,900000,1,TYPE-B,50,2,ANNUAL,687955,INFORCE
A03173,27,100000,,,,1,TYPE-B,50,0,ANNUAL,810444,INFORCE
A03174,27,100000,M,M,275004,1,TYPE-B,38,1,ANNUAL,873622,INFORCE
A03175,12,100000,M,M,699996,1,TYPE-B,39,1,ANNUAL,872033,CANCELLED
A03176,55,107159,M,M,750000,1,TYPE-B,40,3,ANNUAL,739244,CANCELLED
A03177,27,110000,,,,1,TYPE-B,54,0,ANNUAL,345733,CANCELLED
A03178,41,199999,W,F,800004,1,TYPE-B,54,0,ANNUAL,879800,CANCELLED
A03179,39,130000,M,M,999996,1,TYPE-B,55,2,ANNUAL,739300,INFORCE
A03180,45,349500,M,M,999996,1,TYPE-B,50,2,ANNUAL,739300,CANCELLED
A03181,58,200000,M,M,399996,1,TYPE-B,36,1,QUARTERLY,861344,CANCELLED
A03182,12,100000,M,M,300000,1,TYPE-B,51,3,ANNUAL,405722,INFORCE
A03183,23,100000,M,M,300000,1,TYPE-B,72,3,ANNUAL,383755,INFORCE
A03184,36,100000,M,F,,4,TYPE-B,58,2,ANNUAL,383755,INFORCE
A03185,49,100000,M,M,399996,1,TYPE-B,46,3,ANNUAL,801377,INFORCE
A03186,27,100000,M,M,350004,1,TYPE-B,28,2,ANNUAL,873622,INFORCE
A03187,12,250000,M,F,900000,1,TYPE-B,51,1,ANNUAL,595933,INFORCE
A03188,17,100000,M,M,500004,1,TYPE-B,34,3,ANNUAL,599966,INFORCE
A03189,12,200000,,,,1,TYPE-B,61,0,ANNUAL,816499,INFORCE
A03190,66,100005,,,,4,TYPE-B,48,0,SEMI-ANNUAL,439155,CANCELLED
A03191,12,120000.96,S,M,360000,1,TYPE-B,24,0,MONTHLY,864466,CANCELLED
A03192,57,100000,M,M,249996,1,TYPE-B,37,3,ANNUAL,792577,CANCELLED
A03193,27,100000,M,M,320004,1,TYPE-B,40,2,ANNUAL,536722,CANCELLED
A03194,12,100000,M,M,500004,1,TYPE-B,40,3,ANNUAL,439666,INFORCE
A03195,27,125000,M,M,600000,1,TYPE-B,24,1,ANNUAL,811344,INFORCE
A03196,27,100000,M,M,549996,1,TYPE-B,35,1,ANNUAL,669999,CANCELLED
A03197,12,200000,M,M,999996,1,TYPE-B,45,1,ANNUAL,872566,CANCELLED
A03198,53,100000,,,,1,TYPE-B,63,1,ANNUAL,632811,INFORCE
A03199,59,100000,M,M,300000,1,TYPE-B,36,2,ANNUAL,670277,CANCELLED
A03200,12,100000,,,,1,TYPE-B,54,0,ANNUAL,814566,CANCELLED
A03201,27,100000,,,,1,TYPE-B,35,1,ANNUAL,797733,CANCELLED
A03202,41,285020,M,M,500004,1,TYPE-B,54,3,ANNUAL,739255,CANCELLED
A03203,27,100000,S,M,800004,1,TYPE-B,29,0,ANNUAL,828633,INFORCE
A03204,17,100000,,,,1,TYPE-B,25,2,ANNUAL,407333,INFORCE
A03205,72,100000,S,M,200004,1,TYPE-B,21,0,ANNUAL,870344,INFORCE
A03206,52,100000,M,F,,4,TYPE-B,43,1,ANNUAL,343344,INFORCE
A03207,55,142000,M,M,999996,1,TYPE-B,40,1,ANNUAL,739300,INFORCE
A03208,54,142000,M,M,999996,1,TYPE-B,41,3,ANNUAL,739300,INFORCE
A03209,47,142000,M,M,999996,1,TYPE-B,48,3,ANNUAL,739300,INFORCE
A03210,33,400000,,,,6,TYPE-B,63,1,SEMI-ANNUAL,309877,INFORCE
A03211,30,100000,M,M,249996,1,TYPE-B,65,3,ANNUAL,836388,INFORCE
A03212,40,100000,M,F,249996,1,TYPE-B,55,2,ANNUAL,836388,INFORCE
A03213,31,100000,M,M,699996,1,TYPE-B,64,2,ANNUAL,739200,CANCELLED
A03214,35,150000,M,F,500004,1,TYPE-B,60,3,ANNUAL,504511,INFORCE
A03215,43,150000,M,M,999996,1,TYPE-B,52,1,ANNUAL,343377,CANCELLED
A03216,27,110000,S,M,350004,1,TYPE-B,24,0,ANNUAL,828633,CANCELLED
A03217,58,100000,S,M,500004,1,TYPE-B,36,0,ANNUAL,483611,INFORCE
A03218,12,100000,M,M,324996,1,TYPE-B,35,3,ANNUAL,870755,INFORCE
A03219,64,100000,M,F,800004,1,TYPE-B,29,1,ANNUAL,569033,CANCELLED
A03220,27,100000,,,,1,TYPE-B,53,0,ANNUAL,870344,INFORCE
A03221,21,100000,M,M,600000,1,TYPE-B,73,3,QUARTERLY,842788,INFORCE
A03222,27,100000,S,M,300000,1,TYPE-B,23,0,ANNUAL,873622,CANCELLED
A03223,56,1500000,M,M,500004,1,TYPE-B,38,3,SINGLE-PREMIUM,691588,INFORCE
A03224,53,100000,,,,1,TYPE-B,63,2,ANNUAL,632811,INFORCE
A03225,17,100000,M,M,399996,1,TYPE-B,56,1,ANNUAL,703877,INFORCE
A03226,18,100000,M,M,,6,TYPE-B,76,3,ANNUAL,439155,INFORCE
A03227,54,1000000,M,M,2300004,1,TYPE-B,41,3,ANNUAL,832200,CANCELLED
A03228,18,100000,M,M,,6,TYPE-B,77,2,ANNUAL,830177,INFORCE
A03229,27,100000,M,M,699996,1,TYPE-B,55,3,ANNUAL,879266,CANCELLED
A03230,27,100000,,,,1,TYPE-B,51,0,ANNUAL,879266,INFORCE
A03231,28,100000,M,M,999996,1,TYPE-B,67,3,ANNUAL,881866,INFORCE
A03232,51,200000,M,M,3000000,1,TYPE-B,44,3,ANNUAL,20900,INFORCE
A03233,32,100000,W,F,200004,1,TYPE-B,63,0,ANNUAL,632811,INFORCE
A03234,40,100000,M,F,500004,1,TYPE-B,54,3,ANNUAL,632811,CANCELLED
A03235,51,1000000,M,M,1100004,1,TYPE-B,44,3,SINGLE-PREMIUM,577966,INFORCE
A03236,27,100000,S,M,500004,1,TYPE-B,34,0,ANNUAL,828633,INFORCE
A03237,27,100000,S,M,500004,1,TYPE-B,28,0,ANNUAL,828633,INFORCE
A03238,27,350000,M,M,500004,1,TYPE-B,35,3,ANNUAL,739211,CANCELLED
A03239,27,100000,M,F,279996,5,TYPE-B,43,1,ANNUAL,798355,INFORCE
A03240,41,199999,M,M,999996,1,TYPE-B,53,3,ANNUAL,739300,CANCELLED
A03241,17,100000,M,F,440004,1,TYPE-B,34,3,ANNUAL,823999,INFORCE
A03242,33,100000,M,M,999996,1,TYPE-B,62,3,ANNUAL,674211,INFORCE
A03243,30,100000,M,M,450000,1,TYPE-B,65,2,ANNUAL,265999,INFORCE
A03244,33,100000,M,M,200004,1,TYPE-B,62,2,ANNUAL,70800,INFORCE
A03245,29,100000,M,M,600000,1,TYPE-B,66,1,ANNUAL,352977,INFORCE
A03246,33,100000,M,F,450000,1,TYPE-B,62,3,ANNUAL,352977,INFORCE
A03247,17,200000,M,F,900000,1,TYPE-B,46,1,ANNUAL,739199,CANCELLED
A03248,9,120000.96,,,,1,TYPE-B,71,1,MONTHLY,856266,INFORCE
A03249,12,100000,M,F,1700004,1,TYPE-B,56,3,ANNUAL,773733,INFORCE
A03250,22,100000,M,M,500004,1,TYPE-B,38,1,ANNUAL,558700,INFORCE
A03251,27,100000,S,F,249996,1,TYPE-B,19,0,ANNUAL,828633,CANCELLED
A03252,27,100000,M,M,3099996,1,TYPE-B,38,2,ANNUAL,800033,INFORCE
A03253,17,100000,M,M,999996,1,TYPE-B,55,2,ANNUAL,444333,INFORCE
A03254,27,100000,,,,1,TYPE-B,71,2,ANNUAL,898288,INFORCE
A03255,12,100000,S,F,450000,1,TYPE-B,23,0,ANNUAL,820333,INFORCE
A03256,32,100000,M,M,,6,TYPE-B,63,3,ANNUAL,232700,CANCELLED
A03257,27,101000,S,M,499992,5,TYPE-B,25,0,ANNUAL,483677,INFORCE
A03258,12,100000,S,M,1239996,1,TYPE-B,24,0,ANNUAL,698744,INFORCE
A03259,27,100000,S,M,1239996,1,TYPE-B,24,0,ANNUAL,698744,INFORCE
A03260,27,100000,M,M,300000,1,TYPE-B,48,1,ANNUAL,828633,CANCELLED
A03261,12,100000,W,F,1291236,1,TYPE-B,56,0,ANNUAL,698744,INFORCE
A03262,27,100000.8,M,M,399996,1,TYPE-B,45,1,MONTHLY,383633,INFORCE
A03263,47,100000,M,M,120000,1,TYPE-B,48,2,ANNUAL,855800,INFORCE
A03264,30,1800000,M,M,2799996,1,TYPE-B,64,2,SINGLE-PREMIUM,890699,INFORCE
A03265,32,105579,M,M,699996,1,TYPE-B,58,1,ANNUAL,884000,INFORCE
A03266,27,100000,M,M,500004,1,TYPE-B,35,1,ANNUAL,847711,INFORCE
A03267,27,100000,M,M,399996,1,TYPE-B,35,1,ANNUAL,200533,INFORCE
A03268,17,2500000,M,M,1500000,1,TYPE-B,77,2,SINGLE-PREMIUM,17411,INFORCE
A03269,12,240001.92,M,M,2799996,1,TYPE-B,53,2,MONTHLY,418122,INFORCE
A03270,25,300000,M,M,650004,1,TYPE-B,70,2,SEMI-ANNUAL,183611,INFORCE
A03271,31,100000,M,M,,6,TYPE-B,64,3,ANNUAL,830177,INFORCE
A03272,17,100000,S,M,500004,1,TYPE-B,37,0,ANNUAL,426444,CANCELLED
A03273,36,150000,M,M,300000,1,TYPE-B,59,3,ANNUAL,860322,INFORCE
